,nodes,edges,density,is_connected,diameter,average_path_length,average_clustering
group_only,5,5,0.5,True,2,1.5,0.4333333333333333
member_410451634,7,6,0.2857142857142857,True,2,1.7142857142857142,0.0
member_485335940,7,6,0.2857142857142857,True,2,1.7142857142857142,0.0
member_224573416,10,13,0.28888888888888886,True,2,1.7333333333333334,0.6083333333333333
member_265744005,8,10,0.35714285714285715,True,2,1.6785714285714286,0.5119047619047619
member_235618164,8,10,0.35714285714285715,True,2,1.6785714285714286,0.5119047619047619
high_centrality,51,146,0.11450980392156863,True,4,2.3835294117647057,0.08130181365475483
